test_id,model,dataset,datasetSize,threads,queryName,queryType,elapsedTime,numEntities,numMachines
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,EnvironmentCoverage,edgesDirection,240,20,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentOutlier,edgesDirection,25419,200,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentHistory,edgesDirection,16,1,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,EnvironmentCoverage,edgesDirection,258,20,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentOutlier,edgesDirection,25133,200,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentHistory,edgesDirection,15,1,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,EnvironmentCoverage,edgesDirection,222,20,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentOutlier,edgesDirection,25667,200,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentHistory,edgesDirection,15,1,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,EnvironmentCoverage,edgesDirection,214,20,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentOutlier,edgesDirection,24877,200,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentHistory,edgesDirection,15,1,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,EnvironmentCoverage,edgesDirection,222,20,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentOutlier,edgesDirection,25482,200,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentHistory,edgesDirection,15,1,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,EnvironmentCoverage,edgesDirection,220,20,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentOutlier,edgesDirection,26062,200,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentHistory,edgesDirection,15,1,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,EnvironmentCoverage,edgesDirection,230,20,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentOutlier,edgesDirection,25232,200,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentHistory,edgesDirection,18,1,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,EnvironmentCoverage,edgesDirection,237,20,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentOutlier,edgesDirection,25477,200,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentHistory,edgesDirection,19,1,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,EnvironmentCoverage,edgesDirection,256,20,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentOutlier,edgesDirection,25116,200,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentHistory,edgesDirection,15,1,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,EnvironmentCoverage,edgesDirection,224,20,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentOutlier,edgesDirection,24805,200,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentHistory,edgesDirection,16,1,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,EnvironmentCoverage,edgesDirection,212,20,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentOutlier,edgesDirection,25154,200,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentHistory,edgesDirection,15,1,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,EnvironmentCoverage,edgesDirection,223,20,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentOutlier,edgesDirection,24887,200,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentHistory,edgesDirection,16,1,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,EnvironmentCoverage,edgesDirection,215,20,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentOutlier,edgesDirection,24859,200,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentHistory,edgesDirection,15,1,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,EnvironmentCoverage,edgesDirection,218,20,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentOutlier,edgesDirection,24742,200,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentHistory,edgesDirection,16,1,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,EnvironmentCoverage,edgesDirection,233,20,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentOutlier,edgesDirection,25477,200,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentHistory,edgesDirection,18,1,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,EnvironmentCoverage,edgesDirection,242,20,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentOutlier,edgesDirection,25435,200,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentHistory,edgesDirection,16,1,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,EnvironmentCoverage,edgesDirection,224,20,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentOutlier,edgesDirection,25168,200,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentHistory,edgesDirection,16,1,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,EnvironmentCoverage,edgesDirection,221,20,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentOutlier,edgesDirection,25114,200,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentHistory,edgesDirection,16,1,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,EnvironmentCoverage,edgesDirection,220,20,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentOutlier,edgesDirection,25452,200,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentHistory,edgesDirection,16,1,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,EnvironmentCoverage,edgesDirection,218,20,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentOutlier,edgesDirection,25184,200,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentHistory,edgesDirection,16,1,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,EnvironmentCoverage,edgesDirection,238,20,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentOutlier,edgesDirection,25118,200,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentHistory,edgesDirection,15,1,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,EnvironmentCoverage,edgesDirection,249,20,1

