test_id,queryid,model,dataset,datasetSize,threads,elapsedTime,numMachines,cardinality,queryMode
79c7b7fc-499d-40df-88b4-143180f0bdb4,MaintenanceOwners,stgraph,smartbench,large,64,2386,2,1000,OPTIMIZED
85fb8256-4a16-4f62-a1cc-fabf957a7ac1,EnvironmentOutlier,stgraph,smartbench,small,32,594,1,4,OPTIMIZED
3671eb4f-a410-4606-9881-ea769c121dc1,EnvironmentOutlier,stgraph,smartbench,small,64,691,1,4,OPTIMIZED
b7065bdb-8fc2-4936-8f04-1780dcff055c,EnvironmentOutlier,stgraph,smartbench,medium,32,1604,1,5,OPTIMIZED
4877f96f-d5ea-4224-99ad-23d8be0ccb11,EnvironmentOutlier,stgraph,smartbench,medium,64,1501,1,5,OPTIMIZED
b1efa0fc-57ee-4ccd-acbd-ffee841c66a7,EnvironmentOutlier,stgraph,smartbench,large,32,33646,1,5,OPTIMIZED
d60de549-0c5f-460d-8a9d-3f6f17603e1c,EnvironmentOutlier,stgraph,smartbench,large,64,32889,1,5,OPTIMIZED
6e169866-f2ff-493b-b14f-55a11fbf1b0a,EnvironmentOutlier,stgraph,smartbench,small,32,505,4,4,OPTIMIZED
c6f66fe4-a22c-4217-9bbc-a13416c8923b,EnvironmentOutlier,stgraph,smartbench,small,64,408,4,4,OPTIMIZED
5d4f9792-2037-42dd-8805-3fd9cc5fb307,EnvironmentOutlier,stgraph,smartbench,medium,32,807,4,5,OPTIMIZED
a0270493-845e-489a-b03e-cd64df2e40b2,EnvironmentOutlier,stgraph,smartbench,medium,64,867,4,5,OPTIMIZED
65c3d393-4fc2-4d98-b5b5-c8e42fe51d85,EnvironmentOutlier,stgraph,smartbench,large,32,10711,4,5,OPTIMIZED
bad5ea62-8e9c-4e40-ad87-e0cb2455df3e,EnvironmentOutlier,stgraph,smartbench,large,64,9929,4,5,OPTIMIZED
98ecf9d5-a616-4cad-b9d3-78d0593c73d2,EnvironmentOutlier,stgraph,smartbench,small,32,601,2,4,OPTIMIZED
8a9082ea-3621-461b-870c-34d239b773b9,EnvironmentOutlier,stgraph,smartbench,small,64,395,2,4,OPTIMIZED
9dc9e0e3-0a7a-4058-b1ca-7b353a6a9c07,EnvironmentOutlier,stgraph,smartbench,medium,32,956,2,5,OPTIMIZED
142f6c9f-2412-435a-b9f0-653319be8f8b,EnvironmentOutlier,stgraph,smartbench,medium,64,924,2,5,OPTIMIZED
a884f753-0f62-44d8-8ff7-b21acf7de28e,EnvironmentOutlier,stgraph,smartbench,large,32,15791,2,5,OPTIMIZED
a5ca069c-426c-4574-9fd3-a7935fb93fb8,EnvironmentOutlier,stgraph,smartbench,large,64,15422,2,5,OPTIMIZED
a09ebc57-7ddb-403e-9e91-f0c481899c3f,EnvironmentCoverage,stgraph,smartbench,small,32,2,1,10,OPTIMIZED
c02ae657-2a48-46ca-bdb7-de45edcb9b08,EnvironmentCoverage,stgraph,smartbench,small,64,2,1,10,OPTIMIZED
dcdd37a2-5672-459b-9b23-63da741bbcdc,EnvironmentCoverage,stgraph,smartbench,medium,32,3,1,20,OPTIMIZED
afbbe8ed-c49e-4c38-8be4-5f340cf1640f,EnvironmentCoverage,stgraph,smartbench,medium,64,2,1,20,OPTIMIZED
6457cc75-db84-44e9-a328-f3c2f97a6826,EnvironmentCoverage,stgraph,smartbench,large,32,7,1,131,OPTIMIZED
046481de-cc80-43bc-8fa6-5b40a6206e64,EnvironmentCoverage,stgraph,smartbench,large,64,6,1,131,OPTIMIZED
b3205849-8c4a-4e75-96fc-5c6e716acdfe,EnvironmentCoverage,stgraph,smartbench,small,32,1,4,10,OPTIMIZED
e9847973-2708-424f-8141-1c7a6d03c252,EnvironmentCoverage,stgraph,smartbench,small,64,0,4,10,OPTIMIZED
6effdcb3-3310-40c6-99fa-04caaa7a7b23,EnvironmentCoverage,stgraph,smartbench,medium,32,1,4,20,OPTIMIZED
6bcae013-8e75-4833-b507-2eb437a3c5ca,EnvironmentCoverage,stgraph,smartbench,medium,64,1,4,20,OPTIMIZED
e4d50466-ff68-459f-9995-779c4f9e4cc2,EnvironmentCoverage,stgraph,smartbench,large,32,6,4,131,OPTIMIZED
5be2d4eb-adf1-4fab-8b44-b4eed0974721,EnvironmentCoverage,stgraph,smartbench,large,64,5,4,131,OPTIMIZED
e758b939-1c7b-40f4-8d07-8deef2bae973,EnvironmentCoverage,stgraph,smartbench,small,32,1,2,10,OPTIMIZED
e2958808-8a78-424d-97d1-47fcc67e63bc,EnvironmentCoverage,stgraph,smartbench,small,64,0,2,10,OPTIMIZED
f8db3a03-b342-4410-b280-c50c3a08df3d,EnvironmentCoverage,stgraph,smartbench,medium,32,1,2,20,OPTIMIZED
6eb32644-e943-4b8a-93c5-6b1663011a62,EnvironmentCoverage,stgraph,smartbench,medium,64,1,2,20,OPTIMIZED
4492e9b0-cf8a-415d-aab8-523fb5275184,EnvironmentCoverage,stgraph,smartbench,large,32,5,2,131,OPTIMIZED
acc4ad4a-6fde-4f0d-98fe-20a683560fed,EnvironmentCoverage,stgraph,smartbench,large,64,5,2,131,OPTIMIZED
98f1e9bc-4cf5-4bc8-86d1-b53afd6a46fc,AgentHistory,stgraph,smartbench,small,32,14,1,1,OPTIMIZED
a9cf60ec-530e-4c0c-9353-c27ec7e738c6,AgentHistory,stgraph,smartbench,small,64,12,1,1,OPTIMIZED
3a347728-7a66-4661-9e1a-98492ee193f9,AgentHistory,stgraph,smartbench,medium,32,13,1,1,OPTIMIZED
b0f70807-8db1-4e47-84bc-fd923d85f112,AgentHistory,stgraph,smartbench,medium,64,13,1,1,OPTIMIZED
e8b6252d-ef71-4685-ad0e-e8839fe6ffa7,AgentHistory,stgraph,smartbench,large,32,30,1,1,OPTIMIZED
8e2fa789-fdec-4e0a-ac9c-f3a09de56c51,AgentHistory,stgraph,smartbench,large,64,30,1,1,OPTIMIZED
