test_id,model,startTimestamp,endTimestamp,dataset,datasetSize,threads,graphElapsedTime,tsElapsedTime,elapsedTime,numMachines,storage,iteration,note,indexTime,tsStorage,gsStorage,tsCard,gsCard,Unnamed: 13
7bc33a6a-b240-443e-9266-c808717980d0,stgraph,1774908858.215,1774909184.362,smartbench,Medium,1,6429.0,111351.0,326147.0000743866,1,-2.0,,,170894.0,-1.0,-1.0,10368000.0,6237.0,
79861518-550d-47d2-99ef-481dc0fe92ea,stgraph,1774909184.556,1774909412.981,smartbench,Medium,16,8768.0,42095.0,228424.99995231628,1,-2.0,,,174598.0,-1.0,-1.0,10368000.0,6237.0,
d229f423-7098-46f9-8ec6-4533e2d414fb,stgraph,1774909413.369,1774917956.789,smartbench,Large,1,27286.0,2967487.0,8543420.000076294,1,-2.0,,,4897538.0,-1.0,-1.0,259200000.0,26537.0,
a8c3c905-515a-406b-80f8-139a94b34a41,stgraph,1774917958.002,1774924260.636,smartbench,Large,16,29663.0,1202312.0,6302633.999824524,1,-2.0,,,5032147.0,-1.0,-1.0,259200000.0,26537.0,
afb18163-ae52-4042-9e60-b22f14342aea,stgraph,1774924261.003,1774924322.111,smartbench,Small,1,3643.0,16505.0,61108.00004005432,2,-2.0,,,35629.0,-1.0,-1.0,2592000.0,3497.0,
629b0ced-fe41-49fd-b49e-45b4607e1ba5,stgraph,1774924322.273,1774924375.988,smartbench,Small,16,6214.0,10266.0,53714.99991416931,2,-2.0,,,36630.0,-1.0,-1.0,2592000.0,3497.0,
0df01a91-d0c8-4475-a45d-5af1ee063fb1,stgraph,1774924376.467,1774924640.451,smartbench,Medium,1,6463.0,65210.0,263983.9999675751,2,-2.0,,,165953.0,-1.0,-1.0,10368000.0,6237.0,
3fc37eb0-4cb2-4630-b1c4-dcdd007f885c,stgraph,1774924640.666,1774924869.56,smartbench,Medium,16,10882.0,45007.0,228894.00005340576,2,-2.0,,,168976.0,-1.0,-1.0,10368000.0,6237.0,
0634c675-a2fa-4efe-ac09-ab6d472fe0c3,stgraph,1774924871.198,1774934333.703,smartbench,Large,1,27339.0,3930069.0,9462505.00011444,2,-2.0,,,4857751.0,-1.0,-1.0,259200000.0,26537.0,
dbf75467-bd38-4bfd-a886-cffdb49ca0f5,stgraph,1774934335.199,1774940510.788,smartbench,Large,16,31706.0,1266393.0,6175589.000225067,2,-2.0,,,4846139.0,-1.0,-1.0,259200000.0,26537.0,
e6f0c840-4e98-48d2-8737-ee37389d89f6,stgraph,1774940511.431,1774940568.173,smartbench,Small,1,3654.0,30682.0,56742.000102996826,4,-2.0,,,17669.0,-1.0,-1.0,2592000.0,3497.0,
cc3085d6-51de-4158-b2d3-aeb39445a039,stgraph,1774940568.312,1774940608.197,smartbench,Small,16,5798.0,14079.0,39884.99999046326,4,-2.0,,,21469.0,-1.0,-1.0,2592000.0,3497.0,
3232d52e-38e4-4252-adfe-369d94723cda,stgraph,1774940608.648,1774940845.065,smartbench,Medium,1,6451.0,115032.0,236417.0000553131,4,-2.0,,,81517.0,-1.0,-1.0,10368000.0,6237.0,
309fc06e-c789-47ec-85b7-f1b46b67c805,stgraph,1774940845.238,1774941005.474,smartbench,Medium,16,12023.0,53282.0,160236.00006103516,4,-2.0,,,89668.0,-1.0,-1.0,10368000.0,6237.0,
9004e05c-0eef-435c-a9fb-0707304ded99,stgraph,1774941006.693,1774949403.852,smartbench,Large,1,30424.0,5438273.0,8397158.999919891,4,-2.0,,,2250387.0,-1.0,-1.0,259200000.0,26537.0,
e5b35b22-6146-4220-92bd-51f633a1a917,stgraph,1774949404.711,1774953164.43,smartbench,Large,16,36314.0,1404438.0,3759719.0001010895,4,-2.0,,,2271179.0,-1.0,-1.0,259200000.0,26537.0,
cd0f92e2-ee22-42b9-ac20-e02dda447cc6,stgraph,1774961928.384,1774961983.072,smartbench,Small,16,6700.0,11025.0,54687.999963760376,2,-2.0,,,36217.0,-1.0,-1.0,2592000.0,3497.0,
81e0ea56-027b-4508-ae96-981c6648ba71,stgraph,1774961983.508,1774962218.855,smartbench,Medium,16,10656.0,49162.0,235347.0001220703,2,-2.0,,,171709.0,-1.0,-1.0,10368000.0,6237.0,
aa7fac17-baee-479d-905c-ae5bbd0af967,stgraph,1774962220.354,1774968385.105,smartbench,Large,16,31848.0,1263617.0,6164750.999927521,2,-2.0,,,4829608.0,-1.0,-1.0,259200000.0,26537.0,
f61209be-0a38-4e0b-a189-cf07c93fc8df,HyGraph,1758034886.0,1758034901.0,smartbench,Small,1,-1.0,-1.0,15000.0,-1,-1.0,0.0,,,,,,,
5d2e226e-70fc-425c-b38c-529a7bf710c5,HyGraph,1758035504.0,1758035520.0,smartbench,Small,1,-1.0,-1.0,16000.0,-1,-1.0,0.0,,,,,,,
324b8df3-6dbd-4972-afb7-012874ff81de,HyGraph,1758092408.0,1758092424.0,smartbench,Small,1,-1.0,-1.0,16000.0,-1,-1.0,0.0,,,,,,,
52513bdc-a310-48d0-b736-2df8c6851d69,HyGraph,1758099663.0,1758099690.0,smartbench,Small,1,-1.0,-1.0,27000.0,-1,-1.0,0.0,,,,,,,
82e69fd1-53e7-4b09-b45a-249eb834c841,HyGraph,1758100926.0,1758100953.0,smartbench,Small,1,-1.0,-1.0,27000.0,-1,-1.0,0.0,,,,,,,
f61209be-0a38-4e0b-a189-cf07c93fc8df,HyGraph,1758034886.0,1758034901.9457836,smartbench,Small,1,-1.0,-1.0,15945.783615112305,-1,-1.0,1.0,,,,,,,
5d2e226e-70fc-425c-b38c-529a7bf710c5,HyGraph,1758035504.0,1758035520.267862,smartbench,Small,1,-1.0,-1.0,16267.86208152771,-1,-1.0,1.0,,,,,,,
324b8df3-6dbd-4972-afb7-012874ff81de,HyGraph,1758092408.0,1758092424.8928406,smartbench,Small,1,-1.0,-1.0,16892.84062385559,-1,-1.0,1.0,,,,,,,
52513bdc-a310-48d0-b736-2df8c6851d69,HyGraph,1758099663.0,1758099690.6871746,smartbench,Small,1,-1.0,-1.0,27687.174558639526,-1,-1.0,1.0,,,,,,,
82e69fd1-53e7-4b09-b45a-249eb834c841,HyGraph,1758100926.0,1758100953.6571846,smartbench,Small,1,-1.0,-1.0,27657.184600830078,-1,-1.0,1.0,,,,,,,
b385b33c-084d-4078-8a8b-aa980eedcf4f,HyGraph,1758522744.0,1758522771.4439664,smartbench,Small,1,-1.0,-1.0,27443.966388702393,-1,-1.0,0.0,,,,,,,
d4c9016b-bc6d-49bc-b7f4-252128f3cefd,HyGraph,1760092519.0,1760092602.875661,smartbench,Medium,1,-1.0,-1.0,83875.66089630127,-1,-1.0,0.0,,,,,,,
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,1760104083.0,1760104165.029259,smartbench,Medium,1,-1.0,-1.0,82029.25896644592,-1,-1.0,0.0,,,,,,,
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,1760104165.0,1760104247.7814603,smartbench,Medium,1,-1.0,-1.0,82781.46028518677,-1,-1.0,1.0,,,,,,,
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,1760104247.0,1760104332.319243,smartbench,Medium,1,-1.0,-1.0,85319.24295425415,-1,-1.0,2.0,,,,,,,
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,1760104332.0,1760104418.8148878,smartbench,Medium,1,-1.0,-1.0,86814.8877620697,-1,-1.0,3.0,,,,,,,
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,1760104418.0,1760104507.6535552,smartbench,Medium,1,-1.0,-1.0,89653.55515480042,-1,-1.0,4.0,,,,,,,
3993bbc3-80e8-42af-80e9-82f69d68a972,HyGraph,1000000.0,2000000.0,smartbench,Large,1,-1.0,-1.0,1000000000.0,-1,-1.0,0.0,OOM,,,,,,
daf30544-6a91-448b-b157-42aa5a0e1f9d,HyGraph,1780491029.0,1780507167.398984,mimic-iv,Small,1,-1.0,-1.0,16138398.983955383,-1,-1.0,0.0,,,,,,,
daf30544-6a91-448b-b157-42aa5a0e1f9e,HyGraph,1780491029.0,1780652403.965857,mimic-iv,Medium,1,-1.0,-1.0,161374965.85702896,-1,-1.0,0.0,,,,,,,
3993bbc3-80e8-42af-80e9-82f69d68a972,HyGraph,1000000.0,2000000.0,mimic-iv,Large,1,-1.0,-1.0,1000000000.0,-1,-1.0,0.0,OOM,,,,,,
f61209be-0a38-4e0b-a189-cf07c93ff8df,Neo4J,1758034886.0,1758034901.0,smartbench,Small,1,60114.0,43378633.0,15000.0,-1,-1.0,0.0,,,,,,,
3993bbc3-80e8-42af-80e9-82f69d68a972,Neo4J,1000000.0,2000000.0,smartbench,Medium,1,-1.0,-1.0,1000000000.0,-1,-1.0,0.0,OOT,,,,,,
3993bbc3-80e8-42af-80e9-82f69d68a972,Neo4J,1000000.0,2000000.0,smartbench,Large,1,-1.0,-1.0,1000000000.0,-1,-1.0,0.0,OOT,,,,,,
91533f94-9e00-402a-85cf-74284e6b03b8,Neo4J,1000000.0,2000000.0,mimic-iv,Small,1,,,1000000000.0,-1,-1.0,0.0,,,,,,,
1cb68eac-aaed-4177-9839-169bf3e40d7c,Neo4J,1000000.0,2000000.0,mimic-iv,Medium,1,,,1000000000.0,-1,-1.0,0.0,,,,,,,
9c45691f-03e3-4727-92cf-01564e070f8c,Neo4J,1000000.0,2000000.0,mimic-iv,Large,1,,,1000000000.0,-1,-1.0,0.0,,,,,,,
f1ee93b7-4e18-4ce7-9ceb-49495c836ea5,PGAge,1768915972.0,1768916137.0,smartbench,Small,1,81612.0,82952.0,165000.0,-1,-1.0,0.0,,,,,,,
492855be-4815-43e4-bda9-cc797d53a371,PGAge,176837989.0,176838071.0,smartbench,Medium,1,158266.0,662817.0,82000.0,-1,-1.0,57.0,,,,,,,
492855be-4815-43e4-bda9-cc797d53a371,PGAge,176837989.0,176838071.0,smartbench,Medium,1,158266.0,662817.0,82000.0,-1,-1.0,58.0,,,,,,,
d7dc777d-5f54-42cd-b5ea-b87154f54d0f,PGAge,176838080.0,176838174.0,smartbench,Medium,1,159042.0,772071.0,94000.0,-1,-1.0,59.0,,,,,,,
492855be-4815-43e4-bda9-cc797d53a371,PGAge,176837989.0,176838071.0,smartbench,Medium,1,158266.0,662817.0,82000.0,-1,-1.0,60.0,,,,,,,
d7dc777d-5f54-42cd-b5ea-b87154f54d0f,PGAge,176838080.0,176838174.0,smartbench,Medium,1,159042.0,772071.0,94000.0,-1,-1.0,61.0,,,,,,,
5c30fbe1-d55a-4f74-aa10-c620c5e0a0ae,PGAge,176838184.0,176838282.0,smartbench,Medium,1,171688.0,808247.0,98000.0,-1,-1.0,62.0,,,,,,,
492855be-4815-43e4-bda9-cc797d53a371,PGAge,176837989.0,176838071.0,smartbench,Medium,1,158266.0,662817.0,82000.0,-1,-1.0,63.0,,,,,,,
d7dc777d-5f54-42cd-b5ea-b87154f54d0f,PGAge,176838080.0,176838174.0,smartbench,Medium,1,159042.0,772071.0,94000.0,-1,-1.0,64.0,,,,,,,
5c30fbe1-d55a-4f74-aa10-c620c5e0a0ae,PGAge,176838184.0,176838282.0,smartbench,Medium,1,171688.0,808247.0,98000.0,-1,-1.0,65.0,,,,,,,
9eed834f-e61d-4556-a0ec-80f7f08ad034,PGAge,176838293.0,176838391.0,smartbench,Medium,1,164822.0,819741.0,98000.0,-1,-1.0,66.0,,,,,,,
492855be-4815-43e4-bda9-cc797d53a371,PGAge,176837989.0,176838071.0,smartbench,Medium,1,158266.0,662817.0,82000.0,-1,-1.0,67.0,,,,,,,
d7dc777d-5f54-42cd-b5ea-b87154f54d0f,PGAge,176838080.0,176838174.0,smartbench,Medium,1,159042.0,772071.0,94000.0,-1,-1.0,68.0,,,,,,,
5c30fbe1-d55a-4f74-aa10-c620c5e0a0ae,PGAge,176838184.0,176838282.0,smartbench,Medium,1,171688.0,808247.0,98000.0,-1,-1.0,69.0,,,,,,,
9eed834f-e61d-4556-a0ec-80f7f08ad034,PGAge,176838293.0,176838391.0,smartbench,Medium,1,164822.0,819741.0,98000.0,-1,-1.0,70.0,,,,,,,
9566442e-c9c9-4642-9496-87f5f2467dcf,PGAge,176838402.0,176838502.0,smartbench,Medium,1,170987.0,831878.0,100000.0,-1,-1.0,71.0,,,,,,,
492855be-4815-43e4-bda9-cc797d53a371,PGAge,176837989.0,176838071.0,smartbench,Medium,1,158266.0,662817.0,82000.0,-1,-1.0,72.0,,,,,,,
d7dc777d-5f54-42cd-b5ea-b87154f54d0f,PGAge,176838080.0,176838174.0,smartbench,Medium,1,159042.0,772071.0,94000.0,-1,-1.0,73.0,,,,,,,
5c30fbe1-d55a-4f74-aa10-c620c5e0a0ae,PGAge,176838184.0,176838282.0,smartbench,Medium,1,171688.0,808247.0,98000.0,-1,-1.0,74.0,,,,,,,
