test_id,model,dataset,datasetSize,threads,queryName,queryType,elapsedTime,numEntities,numMachines,querySelectivity,temporalRangeIndex,iteration,queryid,cardinality,queryMode
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Small,1,AgentOutlier,edgesDirection,160568.0,-1.0,-1,,0,4.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Medium,1,EnvironmentCoverage,edgesDirection,18.0,-1.0,-1,,0,6.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Medium,1,EnvironmentCoverage,edgesDirection,18.0,-1.0,-1,,0,7.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Small,1,MaintenanceOwners,edgesDirection,89467.0,-1.0,-1,,0,8.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Medium,1,MaintenanceOwners,edgesDirection,294480.0,-1.0,-1,,0,6.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Small,1,AgentOutlier,edgesDirection,159803.0,-1.0,-1,,0,5.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Small,1,EnvironmentCoverage,edgesDirection,13.0,-1.0,-1,,0,8.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Medium,1,EnvironmentAggregate,edgesDirection,377363.0,-1.0,-1,,0,2.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Medium,1,MaintenanceOwners,edgesDirection,299322.0,-1.0,-1,,0,7.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Medium,1,AgentHistory,edgesDirection,14.0,-1.0,-1,,0,8.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Small,1,MaintenanceOwners,edgesDirection,95453.0,-1.0,-1,,0,9.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Small,1,AgentHistory,edgesDirection,11.0,-1.0,-1,,0,6.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Medium,1,EnvironmentAggregate,edgesDirection,369780.0,-1.0,-1,,0,3.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Medium,1,AgentOutlier,edgesDirection,517873.0,-1.0,-1,,0,7.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Medium,1,EnvironmentAggregate,edgesDirection,378623.0,-1.0,-1,,0,4.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Medium,1,AgentHistory,edgesDirection,15.0,-1.0,-1,,0,9.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Medium,1,EnvironmentCoverage,edgesDirection,17.0,-1.0,-1,,0,8.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Medium,1,MaintenanceOwners,edgesDirection,303593.0,-1.0,-1,,0,8.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Small,1,AgentOutlier,edgesDirection,165978.0,-1.0,-1,,0,6.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Small,1,AgentOutlier,edgesDirection,160223.0,-1.0,-1,,0,7.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Medium,1,EnvironmentAggregate,edgesDirection,367955.0,-1.0,-1,,0,5.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Small,1,EnvironmentAggregate,edgesDirection,122805.0,-1.0,-1,,0,6.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Medium,1,AgentOutlier,edgesDirection,510711.0,-1.0,-1,,0,8.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Medium,1,EnvironmentAggregate,edgesDirection,368349.0,-1.0,-1,,0,6.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Small,1,AgentOutlier,edgesDirection,165739.0,-1.0,-1,,0,8.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Medium,1,EnvironmentAggregate,edgesDirection,370864.0,-1.0,-1,,0,7.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Small,1,AgentHistory,edgesDirection,12.0,-1.0,-1,,0,7.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Small,1,EnvironmentAggregate,edgesDirection,115918.0,-1.0,-1,,0,7.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Small,1,AgentHistory,edgesDirection,11.0,-1.0,-1,,0,8.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Small,1,AgentOutlier,edgesDirection,159765.0,-1.0,-1,,0,9.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Medium,1,EnvironmentAggregate,edgesDirection,373972.0,-1.0,-1,,0,8.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Medium,1,EnvironmentCoverage,edgesDirection,17.0,-1.0,-1,,0,9.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Medium,1,AgentOutlier,edgesDirection,515603.0,-1.0,-1,,0,9.0,,,
